Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F7,Tremellomycetes,1,2,47.75,8.84,0
B44,EMM_F7,Tremellomycetes,1,2,54.73,7.72,0
B44,EMM_F7,Tremellomycetes,2,2,0,7.43,0
B44,EMM_F7,Tremellomycetes,2,2,11.38,7.8,0
B44,EMM_F7,Tremellomycetes,2,2,17.4,8.08,0
B44,EMM_F7,Tremellomycetes,2,2,24.86,8.35,0
B44,EMM_F7,Tremellomycetes,2,2,31.78,8.35,0
B44,EMM_F7,Tremellomycetes,2,2,40.63,7.97,0
B44,EMM_F7,Tremellomycetes,2,2,47.75,9.1,0
B44,EMM_F7,Tremellomycetes,2,2,54.73,5.81,0
B44,EMM_F7,Tremellomycetes,3,2,0,6.76,0
B44,EMM_F7,Tremellomycetes,3,2,11.38,7.18,0
B44,EMM_F7,Tremellomycetes,3,2,17.4,8.03,0
B44,EMM_F7,Tremellomycetes,3,2,24.86,9.23,0
B44,EMM_F7,Tremellomycetes,3,2,31.78,8.47,0
B44,EMM_F7,Tremellomycetes,3,2,40.63,7.66,0
B44,EMM_F7,Tremellomycetes,3,2,47.75,7.5,0
B44,EMM_F7,Tremellomycetes,3,2,54.73,7.97,0
B44,ZAN_F3,Tremellomycetes,1,2,0,7.52,0
B44,ZAN_F3,Tremellomycetes,1,2,11.38,8.01,0
B44,ZAN_F3,Tremellomycetes,1,2,17.4,7.3,0
