Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,colony_diameter_control,increase
B17,EMM_F3,Dothideomycetes,1,2,0,6.88,7.79,0
B17,EMM_F3,Dothideomycetes,1,2,11.38,6.88,7.79,0
B17,EMM_F3,Dothideomycetes,1,2,17.4,7.32,7.79,0
B17,EMM_F3,Dothideomycetes,1,2,24.86,6.87,7.79,0
B17,EMM_F3,Dothideomycetes,1,2,31.78,7.16,7.52,0
B17,EMM_F3,Dothideomycetes,1,2,40.63,7.09,6.98,0
B17,EMM_F3,Dothideomycetes,1,2,47.75,7.09,7.67,0
B17,EMM_F3,Dothideomycetes,1,2,54.73,6.92,7.67,0
B17,EMM_F3,Dothideomycetes,2,2,0,7.98,6.19,0
B17,EMM_F3,Dothideomycetes,2,2,11.38,7.03,7.31,0
B17,EMM_F3,Dothideomycetes,2,2,17.4,7.59,8.43,0
B17,EMM_F3,Dothideomycetes,2,2,24.86,6.63,7.21,0
B17,EMM_F3,Dothideomycetes,2,2,31.78,6.68,7.98,0
B17,EMM_F3,Dothideomycetes,2,2,40.63,7.08,8.05,0
B17,EMM_F3,Dothideomycetes,2,2,47.75,7.38,8.07,0
B17,EMM_F3,Dothideomycetes,2,2,54.73,7.76,8.07,0
B17,EMM_F3,Dothideomycetes,2,2,0,7.08,8.08,0
B17,EMM_F3,Dothideomycetes,3,2,11.38,7.22,7.73,0
B17,EMM_F3,Dothideomycetes,3,2,17.4,7.22,8.99,0
B17,EMM_F3,Dothideomycetes,3,2,24.86,7.22,8.86,0
B17,EMM_F3,Dothideomycetes,3,2,31.78,7.22,8.53,0
B17,EMM_F3,Dothideomycetes,3,2,40.63,7.22,8.13,0
B17,EMM_F3,Dothideomycetes,3,2,47.75,7.22,8.22,0
B17,EMM_F3,Dothideomycetes,3,2,54.73,7.22,7.38,0
B17,EMM_F34,Dothideomycetes,1,2,0,7.25,7.79,0
B17,EMM_F34,Dothideomycetes,1,2,11.38,7.76,7.79,0
B17,EMM_F34,Dothideomycetes,1,2,17.4,7.57,7.79,0
B17,EMM_F34,Dothideomycetes,1,2,24.86,7.56,7.79,0
B17,EMM_F34,Dothideomycetes,1,2,31.78,7.56,7.52,0
B17,EMM_F34,Dothideomycetes,1,2,40.63,7.56,6.98,0
B17,EMM_F34,Dothideomycetes,1,2,47.75,7.56,7.67,0
B17,EMM_F34,Dothideomycetes,1,2,54.73,7.56,7.67,0
