Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B5,EMM_F3,Dothideomycetes,1,2,0,7.27,0
B5,EMM_F3,Dothideomycetes,1,2,11.38,7.42,0
B5,EMM_F3,Dothideomycetes,1,2,17.4,7.51,0
B5,EMM_F3,Dothideomycetes,1,2,24.86,7.67,0
B5,EMM_F3,Dothideomycetes,1,2,31.78,7.31,0
B5,EMM_F3,Dothideomycetes,1,2,40.63,7.48,0
B5,EMM_F3,Dothideomycetes,1,2,47.75,7.48,0
B5,EMM_F3,Dothideomycetes,1,2,54.73,7.28,0
B5,EMM_F3,Dothideomycetes,2,2,0,7.78,0
B5,EMM_F3,Dothideomycetes,2,2,11.38,7.78,0
B5,EMM_F3,Dothideomycetes,2,2,17.4,7.71,0
B5,EMM_F3,Dothideomycetes,2,2,24.86,7.71,0
B5,EMM_F3,Dothideomycetes,2,2,31.78,7.59,0
B5,EMM_F3,Dothideomycetes,2,2,40.63,7.91,0
B5,EMM_F3,Dothideomycetes,2,2,47.75,8.4,0
B5,EMM_F3,Dothideomycetes,2,2,54.73,8.77,0
B5,EMM_F3,Dothideomycetes,2,2,0,8.23,0
B5,EMM_F3,Dothideomycetes,3,2,11.38,8.01,0
B5,EMM_F3,Dothideomycetes,3,2,17.4,7.38,0
B5,EMM_F3,Dothideomycetes,3,2,24.86,7.57,0
B5,EMM_F3,Dothideomycetes,3,2,31.78,8.26,0
B5,EMM_F3,Dothideomycetes,3,2,40.63,8.32,0
B5,EMM_F3,Dothideomycetes,3,2,47.75,7.37,0
B5,EMM_F3,Dothideomycetes,3,2,54.73,8.4,0
B5,EMM_F34,Dothideomycetes,1,2,0,7.74,0
B5,EMM_F34,Dothideomycetes,1,2,11.38,7.18,0
B5,EMM_F34,Dothideomycetes,1,2,17.4,7.45,0
B5,EMM_F34,Dothideomycetes,1,2,24.86,7.76,0
B5,EMM_F34,Dothideomycetes,1,2,31.78,8.3,0
B5,EMM_F34,Dothideomycetes,1,2,40.63,7.89,0
B5,EMM_F34,Dothideomycetes,1,2,47.75,8.27,0
B5,EMM_F34,Dothideomycetes,1,2,54.73,7.41,0
B5,EMM_F34,Dothideomycetes,2,2,0,7.17,0
B5,EMM_F34,Dothideomycetes,2,2,11.38,8.48,0
B5,EMM_F34,Dothideomycetes,2,2,17.4,7.78,0
B5,EMM_F34,Dothideomycetes,2,2,24.86,8.05,0
B5,EMM_F34,Dothideomycetes,2,2,31.78,7.94,0
B5,EMM_F34,Dothideomycetes,2,2,40.63,7.99,0
B5,EMM_F34,Dothideomycetes,2,2,47.75,6.44,0
B5,EMM_F34,Dothideomycetes,2,2,54.73,7.98,0
B5,EMM_F34,Dothideomycetes,3,2,0,7.4,0
B5,EMM_F34,Dothideomycetes,3,2,11.38,7.09,0
B5,EMM_F34,Dothideomycetes,3,2,17.4,7.32,0
B5,EMM_F34,Dothideomycetes,3,2,24.86,7.86,0
B5,EMM_F34,Dothideomycetes,3,2,31.78,7.16,0
B5,EMM_F34,Dothideomycetes,3,2,40.63,7.74,0
B5,EMM_F34,Dothideomycetes,3,2,47.75,7.35,0
B5,EMM_F34,Dothideomycetes,3,2,54.73,7.22,0
B5,SP_F14,Dothideomycetes,1,2,0,7.83,0
B5,SP_F14,Dothideomycetes,1,2,11.38,7.5,0
B5,SP_F14,Dothideomycetes,1,2,17.4,7.86,0
B5,SP_F14,Dothideomycetes,1,2,24.86,7.76,0
B5,SP_F14,Dothideomycetes,1,2,31.78,8.18,0
