Bacteria,Yeast,Media,Class,Replication,DAI,colony_diameter,increase,colony_weight,CFU
B52,Control,R2A,Control,1,8,7.83,1.77,0.01276,na
B52,Control,R2A,Control,1,8,8.16,1.94,0.01276,na
B52,Control,R2A,Control,2,8,7.95,1.83,0.01289,na
B52,Control,R2A,Control,2,8,7.83,1.7,0.01289,na
B52,Control,R2A,Control,3,8,7.72,1.59,0.03148,na
B52,Control,R2A,Control,3,8,7.72,1.58,0.03148,na
B52,Control,R2A,Control,4,8,7.81,1.56,0.15253,na
B52,Control,R2A,Control,4,8,8.8,2.44,0.15253,na
B52,Control,R2A,Control,5,8,7.82,1.46,0.10395,na
B52,Control,R2A,Control,5,8,7.99,1.61,0.10395,na
B52,Control,R2A,Control,6,8,8.14,2.02,0.10326,na
B52,Control,R2A,Control,6,8,8.05,1.89,0.10326,na
